count,asn_no,asn_org
309020,14061,DIGITALOCEAN-ASN
277153,31898,ORACLE-BMC-31898
249279,0,
172022,45102,"Alibaba US Technology Co., Ltd."
96390,16509,AMAZON-02
33630,20473,AS-CHOOPA
27073,4766,Korea Telecom
24077,24940,Hetzner Online GmbH
23703,8075,MICROSOFT-CORP-MSN-AS-BLOCK
22864,14618,AMAZON-AES
13495,16276,OVH SAS
11615,40065,CNSERVERS
11447,16509,"Amazon.com, Inc."
10076,45102,"Alibaba (US) Technology Co., Ltd."
10048,63949,Akamai Connected Cloud
9711,4837,CHINA UNICOM China169 Backbone
9397,4134,Chinanet
9007,18881,TELEFONICA BRASIL S.A
8777,43898,Oracle Svenska AB
8606,396982,GOOGLE-CLOUD-PLATFORM
7175,9318,SK Broadband Co Ltd
7009,63949,"Linode, LLC"
5798,45090,Shenzhen Tencent Computer Systems Company Limited
5781,3462,Data Communication Business Group
5483,64050,BGPNET Global ASN
5359,202468,Noyan Abr Arvan Co. ( Private Joint Stock)
5046,17858,LG POWERCOMM
4951,273584,LINKED STORE BRASIL CRIACAO E DESENVOL DE SOFTWARE
4197,27699,TELEFONICA BRASIL S.A
4122,210644,AEZA GROUP Ltd
4015,397273,RENDER
4009,140227,"Hong Kong Communications International Co., Limited"
3861,174,COGENT-174
3624,44477,Stark Industries Solutions Ltd
3604,211392,Dream Cloud Innovation Limited
3471,35916,MULTA-ASN1
3165,136950,Hong Kong FireLine Network LTD
3086,8075,Microsoft Corporation
2993,834,IPXO
2979,134768,CHINANET Sichuan province Chengdu MAN network
2855,58955,"Bangmod Enterprise Co., Ltd."
2849,14618,"Amazon.com, Inc."
2841,9808,"China Mobile Communications Group Co., Ltd."
2684,20940,Akamai International B.V.
2622,32934,FACEBOOK
2593,133199,SonderCloud Limited
2349,37963,"Hangzhou Alibaba Advertising Co.,Ltd."
2215,9381,HKBN Enterprise Solutions HK Limited
2187,32475,SingleHop LLC
2185,213230,Hetzner Online GmbH
2173,15169,GOOGLE
2171,29085,Porsche Informatik Gesellschaft m.b.H
2104,36352,AS-COLOCROSSING
2103,54600,PEGTECHINC
2081,9009,M247 Europe SRL
2039,132203,"Tencent Building, Kejizhongyi Avenue"
2038,3786,LG DACOM Corporation
1866,2047,La Roche Ltd.
1804,15169,Google LLC
1795,56971,Cgi Global Limited
1776,136778,"HONGKONG AI JIA SU NETWORK CO.,LIMITED"
1737,13414,TWITTER
1728,21859,ZEN-ECN
1695,3320,Deutsche Telekom AG
1688,3741,IS
1669,24444,Shandong Mobile Communication Company Limited
1660,47583,Hostinger International Limited
1642,36947,Telecom Algeria
1633,201839,MFC Zaymer LLC
1597,36351,SOFTLAYER
1596,45899,VNPT Corp
1586,10036,DLIVE
1539,140224,"STARCLOUD GLOBAL PTE., LTD."
1510,38365,"Beijing Baidu Netcom Science and Technology Co., Ltd."
1497,12876,Online S.a.s.
1461,22612,NAMECHEAP-NET
1430,207713,Global Internet Solutions LLC
1421,14061,"DigitalOcean, LLC"
1421,56040,China Mobile communications corporation
1419,8560,IONOS SE
1365,48715,Sefroyek Pardaz Engineering Co. LTD
1347,399566,BIGCOMMERCE
1343,51659,LLC Baxet
1340,398478,PEGTECHINC-AP-01
1337,29182,JSC IOT
1320,25820,IT7NET
1307,62659,Q2HOLDINGS
1298,4812,China Telecom Group
1282,4892,APPLIEDUK-CLOUD-04
1281,30811,Optimizely AB
1261,19871,NETWORK-SOLUTIONS-HOSTING
1238,138915,Kaopu Cloud HK Limited
1236,43754,Asiatech Data Transmission company
1232,61317,Hivelocity Inc
1228,19551,INCAPSULA
1217,58224,Iran Telecommunication Company PJS
1195,18885,M2NGAGE2
1182,328608,Africa-on-Cloud-AS
1176,45671,Wholesale Services Provider
1171,199614,Fiberocity Ltd
1148,3557,ISC-AS
1131,9908,HK Cable TV Ltd
1121,7303,Telecom Argentina S.A.
1091,23959,Owl Limited
1081,31400,firstcolo GmbH
1072,38197,Sun Network Hong Kong Limited - HongKong Backbone
1068,149648,"Fuzhou Lefeng Networks Technology Co., Ltd."
1068,8796,FD-298-8796
1045,20773,Host Europe GmbH
1041,139646,"HONG KONG Megalayer Technology Co.,Limited"
1026,136146,"Beijing 3389 Network Technology Co., Ltd."
1013,206998,New Relic International Limited
971,201188,Bjt Partners SAS
952,29729,TELEFLORA-OKC
935,21887,FIBER-LOGIC
914,207459,Teknosos Bilisim Hizmetleri Ve Tic. Ltd. Sti.
901,56046,China Mobile communications corporation
897,51236,betting office Olimp Kz LLC
884,63835,"No.293,Wanbao Avenue"
877,19679,DROPBOX
858,13213,UK-2 Limited
832,41436,Kamatera Inc
826,210079,EuroByte LLC
825,16625,AKAMAI-AS
816,51167,Contabo GmbH
809,48940,Link Ltd.
805,140716,UNICOM JiangSu WuXi IDC network
802,49505,OOO Network of data-centers Selectel
796,55720,Gigabit Hosting Sdn Bhd
790,55960,Beijing Guanghuan Xinwang Digital
785,6724,Strato AG
780,35112,GBN group Ltd
777,9294,GNET INC.
776,29873,BIZLAND-SD
767,16086,DNA Oyj
756,4658,2012 Limited Netfront
751,209299,Ambientia Group Oy
740,18779,EGIHOSTING
732,211975,Sascha Wohlert
724,43350,NForce Entertainment B.V.
705,200019,Alexhost Srl
704,906,DMIT
702,2914,NTT-LTD-2914
695,36007,KAMATERA
695,398823,PEGTECHINC-AP-02
687,4808,China Unicom Beijing Province Network
684,50756,Mikrofinansovaya organizaciya Robocash.kz LLP
681,59441,NOAVARAN SHABAKEH SABZ MEHREGAN (Ltd.)
661,4785,xTom
655,136800,Sun Network Hong Kong Limited - HongKong Backbone
651,3214,xTom Limited
649,8151,Uninet S.A. de C.V.
647,3356,"Level 3 Parent, LLC"
645,32475,SINGLEHOP-LLC
637,34513,Tarashe Sabz Tehran Co. Ltd.
634,141998,China Telecom
632,31034,Aruba S.p.A.
631,132883,TOPWAY GLOBAL LIMITED
630,135097,LUOGELANG FRANCE LIMITED
625,62610,ZEN-DPS
621,134548,DXTL Tseung Kwan O Service
619,212669,"Karolio IT paslaugos, UAB"
595,58466,CHINANET Guangdong province network
594,136959,China Unicom Guangdong IP network
592,16844,ENTRATA
591,136190,"JINHUA, ZHEJIANG Province, P.R.China."
584,9123,TimeWeb Ltd.
583,35908,VPLSNET
581,25019,Saudi Telecom Company JSC
572,55532,Squiz Pty Ltd
568,55933,Cloudie Limited
565,25098,Netcalibre Ltd
564,1342,Fujitsu Invia Finland IP-network
563,48147,Asre Pardazeshe Ettelaate Amin Institute
563,31549,Aria Shatel Company Ltd
559,559,SWITCH
553,133774,Fuzhou
553,217,UMN-SYSTEM
551,137693,AnQing
550,60077,Asre Dadeha Asiatech
547,13897,CDC1
545,14,COLUMBIA-GW
544,33696,NEXTARRAY-ASN-01
543,9,CMU-ROUTER
538,54113,FASTLY
535,212317,Hetzner Online GmbH
534,1759,Telia Finland Oyj
533,25,UCB
531,224,Kunnskapssektorens Tjenesteleverandor
527,557,UMAINE-SYS-AS
526,81,NCREN
524,4583,THOMSON-REUTERS
524,12,NYU-DOMAIN
522,161,TI-AS
522,676,United Nations Development Programme
